Cab Car,Model,MFG
1700,CTC-4,Kawasaki
1701,CTC-4,Kawasaki
1702,CTC-4,Kawasaki
1703,CTC-4,Kawasaki
1704,CTC-4,Kawasaki
1705,CTC-4,Kawasaki
1706,CTC-4,Kawasaki
1707,CTC-4,Kawasaki
1708,CTC-4,Kawasaki
1709,CTC-4,Kawasaki
1711,CTC-4,Kawasaki
1712,CTC-4,Kawasaki
1713,CTC-4,Kawasaki
1714,CTC-4,Kawasaki
1715,CTC-4,Kawasaki
1716,CTC-4,Kawasaki
1717,CTC-4,Kawasaki
1718,CTC-4,Kawasaki
1719,CTC-4,Kawasaki
1720,CTC-4,Kawasaki
1721,CTC-4,Kawasaki
1722,CTC-4,Kawasaki
1723,CTC-4,Kawasaki
1724,CTC-4,Kawasaki
1800,CTC-5,Hyundai Rotem
1801,CTC-5,Hyundai Rotem
1802,CTC-5,Hyundai Rotem
1803,CTC-5,Hyundai Rotem
1804,CTC-5,Hyundai Rotem
1805,CTC-5,Hyundai Rotem
1806,CTC-5,Hyundai Rotem
1807,CTC-5,Hyundai Rotem
1808,CTC-5,Hyundai Rotem
1809,CTC-5,Hyundai Rotem
1810,CTC-5,Hyundai Rotem
1811,CTC-5,Hyundai Rotem
1812,CTC-5,Hyundai Rotem
1813,CTC-5,Hyundai Rotem
1814,CTC-5,Hyundai Rotem
1815,CTC-5,Hyundai Rotem
1816,CTC-5,Hyundai Rotem
1817,CTC-5,Hyundai Rotem
1818,CTC-5,Hyundai Rotem
1819,CTC-5,Hyundai Rotem
1820,CTC-5,Hyundai Rotem
1821,CTC-5,Hyundai Rotem
1822,CTC-5,Hyundai Rotem
1823,CTC-5,Hyundai Rotem
1824,CTC-5,Hyundai Rotem
1825,CTC-5,Hyundai Rotem
1826,CTC-5,Hyundai Rotem
1827,CTC-5,Hyundai Rotem
1828,CTC-5,Hyundai Rotem
1829,CTC-5,Hyundai Rotem
1830,CTC-5,Hyundai Rotem
1831,CTC-5,Hyundai Rotem
1832,CTC-5,Hyundai Rotem
1833,CTC-5,Hyundai Rotem
1834,CTC-5,Hyundai Rotem
1835,CTC-5,Hyundai Rotem
1836,CTC-5,Hyundai Rotem
1837,CTC-5,Hyundai Rotem
1838,CTC-5,Hyundai Rotem
1839,CTC-5,Hyundai Rotem
1840,CTC-5,Hyundai Rotem
1841,CTC-5,Hyundai Rotem
1842,CTC-5,Hyundai Rotem
1843,CTC-5,Hyundai Rotem
1844,CTC-5,Hyundai Rotem
1845,CTC-5,Hyundai Rotem
1846,CTC-5,Hyundai Rotem
1847,CTC-5,Hyundai Rotem
1848,CTC-5,Hyundai Rotem
1849,CTC-5,Hyundai Rotem
1850,CTC-5,Hyundai Rotem
1851,CTC-5,Hyundai Rotem
1852,CTC-5,Hyundai Rotem
1853,CTC-5,Hyundai Rotem
1854,CTC-5,Hyundai Rotem
1855,CTC-5,Hyundai Rotem
1856,CTC-5,Hyundai Rotem
1857,CTC-5,Hyundai Rotem
1858,CTC-5,Hyundai Rotem
1859,CTC-5,Hyundai Rotem
1860,CTC-5,Hyundai Rotem
1861,CTC-5,Hyundai Rotem
1862,CTC-5,Hyundai Rotem
1863,CTC-5,Hyundai Rotem
1864,CTC-5,Hyundai Rotem
1865,CTC-5,Hyundai Rotem
1866,CTC-5,Hyundai Rotem
1867,CTC-5,Hyundai Rotem
1868,CTC-5,Hyundai Rotem
1869,CTC-5,Hyundai Rotem
1870,CTC-5,Hyundai Rotem
